Media Type,Media Name,Twitter,Instagram,Facebook
Television/ Radio Media,ABC,1.1M,4.6M,1.6M
Television/ Radio Media,Fox News,1.8M,9.4M,645k
Television/ Radio Media,CNN,62.9M,2M,3.1M
Television/ Radio Media,NBC,9.4M,3.9M,199k
Television/ Radio Media,NPR,2.8M,427k,511k
Newspapers/Magazines,New York Times,55.3M,18.4M,286k
Newspapers/Magazines,Wall Street Journal,20.6M,4.9M,7.3M
Newspapers/Magazines,The Guardian,10.8M,468k,700K
Newspapers/Magazines,The Washington Post,20M,6.8M,7.4M
Newspapers/Magazines,The Boston Globe,"8,862",305k,551K
Newspapers/Magazines,Forbes,20.3M,6.5M,7.7M
Newspapers/Magazines,Associated Press,537.2k,12.1k,57K
